kayit_id,boy,source_file,aktor,aktor_id,aktor_tipi,hedef,hedef_id,hedef_tipi,event_turu,not,ham_satir,kaynak_notu
DKR0334,Kanlı Koca Oğlu Kan Turalı Boyu,07_kanli_koca_oglu_kan_turali_boyu.csv,Kanlı Koca,kanli_koca,kişi,,,,akrabalık,öz konuşma/içsel eylem; durumu anlatayım; hüneri varsa gelsin kızı alsın,kanlı koca - kendi kendine (durumu anlatayım; hüneri varsa gelsin kızı alsın),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı; edge_listeden event_listesine taşındı
DKR0351,Kanlı Koca Oğlu Kan Turalı Boyu,07_kanli_koca_oglu_kan_turali_boyu.csv,Boğayı Getiren Kafirler,bogayi_getiren_kafirler,grup,,,,belirsiz,grup içi/kollektif iç etkileşim; şimdi boğa bu oğlanı öldürür yazık olur oğlana,boğayı getiren kafirler - kendi aralarında (şimdi boğa bu oğlanı öldürür yazık olur oğlana),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı; edge_listeden event_listesine taşındı
DKR0357,Kanlı Koca Oğlu Kan Turalı Boyu,07_kanli_koca_oglu_kan_turali_boyu.csv,Kan Turalı'nın40 Adamı,kan_turalinin40_adami,grup,,,,duygusal_tepki,grup içi/kollektif iç etkileşim; yazık aslandan kurtulması mümkün değil diye üzülürler,kan turalı'nın40 adamı - kendi aralarında (yazık aslandan kurtulması mümkün değil diye üzülürler),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı; edge_listeden event_listesine taşındı
DKR0369,Kanlı Koca Oğlu Kan Turalı Boyu,07_kanli_koca_oglu_kan_turali_boyu.csv,Selcen Hatun,selcen_hatun,kişi,,,,belirsiz,"öz konuşma/içsel eylem; kan turalı uydu, ben nöbet tutayım","selcen hatun - kendi kendine (kan turalı uydu, ben nöbet tutayım)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı; edge_listeden event_listesine taşındı
DKR0370,Kanlı Koca Oğlu Kan Turalı Boyu,07_kanli_koca_oglu_kan_turali_boyu.csv,Tekfur (Kan Turalı Boyu),tekfur_kan_turali_boyu,kişi,,,,akrabalık,öz konuşma/içsel eylem; kızımı aldı gitti; kan turalıya karşı husumet,tekfur - kendi kendine (kızımı aldı gitti; kan turalıya karşı husumet),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı; edge_listeden event_listesine taşındı
DKR0473,Basat'ın Tepegözü Öldürdüğü Boy,09_basatin_tepegozu_oldurdugu_boy.csv,Oğlunu Veren Kadın,oglunu_veren_kadin,kişi,,,,belirsiz,öz konuşma/içsel eylem; basat'a gideyim anlatayım durumu,oğlunu veren kadın - kendi kendine (basat'a gideyim anlatayım durumu),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı; edge_listeden event_listesine taşındı
DKR0678,Salur Kazan'ın tutsak olup oğlu uruz'un kurtardığı boy,12_salur_kazanin_tutsak_olup_oglu_uruzun_kurtardigi_boy.csv,Kazanın Askerleri,kazanin_askerleri,grup,,,,hareket/eylem,grup içi/kollektif iç etkileşim; savaşalım - kazanı bırakmayalım,kazanın askerleri - kendi aralarında (savaşalım - kazanı bırakmayalım),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı; edge_listeden event_listesine taşındı
DKR0685,Salur Kazan'ın tutsak olup oğlu uruz'un kurtardığı boy,12_salur_kazanin_tutsak_olup_oglu_uruzun_kurtardigi_boy.csv,Tekfurun Karısı,tekfurun_karisi,kişi,,,,belirsiz,öz konuşma/içsel eylem; gidip kazanı göreyim,tekfurun karısı - kendi kendine (gidip kazanı göreyim),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı; edge_listeden event_listesine taşındı
DKR0701,Salur Kazan'ın tutsak olup oğlu uruz'un kurtardığı boy,12_salur_kazanin_tutsak_olup_oglu_uruzun_kurtardigi_boy.csv,Kafirler (Uruz Kurtarma Boyu),kafirler_uruz_kurtarma_boyu,grup,,,,evlilik/bağlaşıklık,grup içi/kollektif iç etkileşim; bu adam bizi övmedi gelin öldürelim,kafirler - kendi aralarında (bu adam bizi övmedi gelin öldürelim),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı; edge_listeden event_listesine taşındı
DKR0702,Salur Kazan'ın tutsak olup oğlu uruz'un kurtardığı boy,12_salur_kazanin_tutsak_olup_oglu_uruzun_kurtardigi_boy.csv,Kafirler (Uruz Kurtarma Boyu),kafirler_uruz_kurtarma_boyu,grup,,,,akrabalık,"grup içi/kollektif iç etkileşim; bunun oğlu var, kardeşleri var öldürmek olmaz","kafirler - kendi aralarında (bunun oğlu var, kardeşleri var öldürmek olmaz)",ham_okuma_notu; araştırmacı tarafından standartlaştırıldı; edge_listeden event_listesine taşındı
DKR0729,Salur Kazan'ın tutsak olup oğlu uruz'un kurtardığı boy,12_salur_kazanin_tutsak_olup_oglu_uruzun_kurtardigi_boy.csv,Kafirler (Uruz Kurtarma Boyu),kafirler_uruz_kurtarma_boyu,grup,,,,belirsiz,grup içi/kollektif iç etkileşim; kazan and içti sevindiler,kafirler - kendi aralarında (kazan and içti sevindiler),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı; edge_listeden event_listesine taşındı
DKR0739,Salur Kazan'ın tutsak olup oğlu uruz'un kurtardığı boy,12_salur_kazanin_tutsak_olup_oglu_uruzun_kurtardigi_boy.csv,Salur Kazan,salur_kazan,kişi,,,,akrabalık,öz konuşma/içsel eylem; oğlum büyük er olmuş elhamdülillah,kazan - kendi kendine (oğlum büyük er olmuş elhamdülillah),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı; edge_listeden event_listesine taşındı
DKR0762,İç Oğuz'a Dış Oğuz'un Asi Olup Beyrek'i Öldürdüğü,13_ic_oguza_dis_oguzun_asi_olup_beyreki_oldurdugu.csv,Aruz Emen,aruz_emen,kişi,,,,diyalog_olumsuz,öz konuşma/içsel eylem; diy - ; kazana asi oldu,aruz emen - kendi kendine (diy - ; kazana asi oldu),ham_okuma_notu; araştırmacı tarafından standartlaştırıldı; edge_listeden event_listesine taşındı
DKR0252,Kazan Bey Oğlu Uruz Bey'in Tutsak Olduğu Boy,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,Salur Kazan,salur_kazan,kişi,Çevresindekiler,cevresindekiler,grup,hareket/eylem,çadırlar ve develer,salur kazan - çevresine hediyeler dağıtıyor (çadırlar ve develer),ham_okuma_notu; v3 aşamasında olay kaydına ayrıştırıldı; v3 bağlamsal standardizasyon; v3 bağlamsal standardizasyon
DKR0345,Kanlı Koca Oğlu Kan Turalı Boyu,07_kanli_koca_oglu_kan_turali_boyu.csv,Tekfur (Kan Turalı Boyu),tekfur_kan_turali_boyu,kişi,Kan Turalı ve 40 Adamı,kan_turali_ve_40_adami,grup,tören/ritüel,,tekfur - kan turalı ve 40 adamına hürmet gösteriyor,ham_okuma_notu; v3 aşamasında olay kaydına ayrıştırıldı; v3 bağlamsal standardizasyon; v3 bağlamsal standardizasyon
DKR0708,Salur Kazan'ın tutsak olup oğlu uruz'un kurtardığı boy,12_salur_kazanin_tutsak_olup_oglu_uruzun_kurtardigi_boy.csv,Uruz,uruz,kişi,,,,duygusal_tepki,"üzüldü, anneme danışayım dedi","uruz - kendisi (üzüldü, anneme danışayım dedi)",ham_okuma_notu; v3 aşamasında olay kaydına ayrıştırıldı; v3 bağlamsal standardizasyon; v3 bağlamsal standardizasyon
DKR0122,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,Pay Püre,pay_pure,kişi,Bezirganlar,bezirganlar,grup,aynı_ortamda_bulunma,aynı ortamda bulunma,pay püre - bamsı - bezirganlar (aynı ortamda bulunma),ham_okuma_notu; v3 aşamasında olay kaydına ayrıştırıldı; v3 bağlamsal standardizasyon; v3 bağlamsal standardizasyon
DKR0167,Kam Püre'nin Oğlu Bamsı Beyrek Boyu,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,Yalançı Oğlu Yaltaçuk,yalanci_oglu_yaltacuk,kişi,,,,hazırlık,,yalancı oğlu yaltaçuk - düğün için hazırlık,ham_okuma_notu; v3 aşamasında olay kaydına ayrıştırıldı; v3 bağlamsal standardizasyon; v3 bağlamsal standardizasyon
