kayit_id,source_file,degisim_tipi,alan,eski_deger,yeni_deger,gerekce,duzenleme_turu
DKR0235,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,ad_standardizasyonu,karakter_2,Kafirler,Kafirler (Bamsı Beyrek Boyu),alias/generic bağlama göre düzeltildi,
DKR0236,04_kam_purenin_oglu_bamsi_beyrek_boyu.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0249,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_1,Kazan Bey,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0250,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_1,Kazan Bey,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0254,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0255,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0256,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0257,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_2,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0258,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0259,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_2,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0260,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_1,Kazan,Salur Kazan,alias/generic bağlama göre düzeltildi,
DKR0260,05_kazan_bey_oglu_uruz_beyin_tutsak_oldugu_boy.csv,ad_standardizasyonu,karakter_2,Beyler,Beyler (Uruz Tutsak Boyu),alias/generic bağlama göre düzeltildi,
